Direction,Title,Filename,Size_GB,Quality_Score,Reason,Needs_Review,Will_Replace
Ali → Chris,Star Trek Beyond (2016),Star Trek Beyond (2016) {imdb-tt2660888} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-SPHD.mkv,38.17,2330,Only Ali has this file,NO,N/A
Ali → Chris,Dawn of the Planet of the Apes (2014),Dawn of the Planet of the Apes (2014) {imdb-tt2103281} [Bluray-2160p][DV HDR10][EAC3 7.1][x265]-hallowed.mkv,15.36,2230,Only Ali has this file,NO,N/A
Ali → Chris,Furiosa A Mad Max Saga (2024),Furiosa A Mad Max Saga (2024) {imdb-tt12037194} [Bluray-2160p][DV HDR10Plus][TrueHD Atmos 7.1][x265]-MainFrame.mkv,40.40,2330,Only Ali has this file,NO,N/A
Ali → Chris,Furiosa A Mad Max Saga (2024),Furiosa A Mad Max Saga (2024) {imdb-tt12037194} [WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv,15.13,2030,Only Ali has this file,NO,N/A
Ali → Chris,Venom The Last Dance (2024),Venom The Last Dance (2024) {imdb-tt16366836} [Bluray-2160p][DV HDR10Plus][TrueHD Atmos 7.1][x265]-MainFrame.mkv,23.21,2330,Only Ali has this file,NO,N/A
Ali → Chris,Gladiator II (2024),Gladiator II (2024) {imdb-tt9218128} [Remux-2160p][DV HDR10][TrueHD Atmos 7.1][HEVC]-FraMeSToR.mkv,73.06,2530,Only Ali has this file,NO,N/A
Ali → Chris,TRON Ares (2025),TRON Ares (2025) {imdb-tt6604188} - [MA][WEBDL-2160p][EAC3 Atmos 5.1][DV HDR10][h265]-BYNDR.mkv,21.02,2030,Only Ali has this file,NO,N/A
Ali → Chris,Pulp Fiction (1994),Pulp Fiction (1994) {imdb-tt0110912} [Bluray-2160p][DV HDR10][DTS-HD MA 5.1][x265]-W4NK3R.mkv,32.31,2080,Only Ali has this file,NO,N/A
Ali → Chris,The Fifth Element (1997),The Fifth Element (1997) {imdb-tt0119116} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,56.64,2330,Only Ali has this file,NO,N/A
Ali → Chris,Star Trek Insurrection (1998) {imdb-tt0120844},Star Trek Insurrection (1998) {imdb-tt0120844} [Bluray-2160p][DV HDR10][TrueHD 7.1][x265]-SPHD.mkv,28.43,2330,Only Ali has this file,NO,N/A
Ali → Chris,Mission Impossible III (2006),Mission Impossible III (2006) {imdb-tt0317919} [Bluray-2160p][DV HDR10][TrueHD 5.1][x265]-SPHD.mkv,29.20,2330,Only Ali has this file,NO,N/A
Ali → Chris,Extraction 2 (2023),Extraction 2 (2023) {imdb-tt12263384} [NF][WEBDL-2160p][DV HDR10][EAC3 Atmos 5.1][h265]-HONE.mkv,17.09,2030,Only Ali has this file,NO,N/A
Ali → Chris,Blade II (2002),Blade II (2002) {imdb-tt0187738} [WEBDL-2160p][DV HDR10][DTS-HD MA 7.1][h265]-FLUX.mkv,21.99,1880,Only Ali has this file,NO,N/A
Ali → Chris,Thor The Dark World (2013),Thor The Dark World (2013) {imdb-tt1981115} [Bluray-2160p][HDR10][TrueHD Atmos 7.1][x265]-HQMUX.mkv,22.83,2350,Only Ali has this file,NO,N/A
Ali → Chris,The Lion King (1994),The Lion King (1994) {imdb-tt0110357} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,19.02,2330,Only Ali has this file,NO,N/A
Ali → Chris,The Lion King (2019),The Lion King (2019) {imdb-tt6105098} [Bluray-2160p][DV HDR10][EAC3 7.1][x265]-BHDStudio.mp4,13.86,2230,Only Ali has this file,NO,N/A
Ali → Chris,Extraction (2020),Extraction (2020) {imdb-tt8936646} [NF][WEBDL-2160p][DV HDR10][EAC3 Atmos 5.1][HEVC]-SiC.mkv,13.09,2030,Only Ali has this file,NO,N/A
Ali → Chris,Civil War (2024),Civil War (2024) {imdb-tt17279496} [Bluray-2160p][DV HDR10Plus][TrueHD Atmos 7.1][x265]-MainFrame.mkv,22.60,2330,Only Ali has this file,NO,N/A
Ali → Chris,Superman (2025),Superman (2025) {imdb-tt5950044} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10Plus][x265]-SPHD.mkv,43.47,2330,Only Ali has this file,NO,N/A
Ali → Chris,The Shawshank Redemption (1994),The Shawshank Redemption (1994) {imdb-tt0111161} [Bluray-2160p][DV HDR10][EAC3 5.1][x265]-hallowed.mkv,16.70,2230,Only Ali has this file,NO,N/A
Ali → Chris,Gladiator (2000),Gladiator.2000.Extended.UHD.BluRay.2160p.DTS-X.7.1.HEVC.REMUX-FraMeSToR.mkv,57.06,2230,Ali has additional version (lower quality: 2230 vs 2510),NO,N/A
Ali → Chris,Godzilla Minus One (2023),Godzilla Minus One (2023) {imdb-tt23289160} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,22.73,2330,Only Ali has this file,NO,N/A
Ali → Chris,Zack Snyders Justice League (2021),Zack Snyders Justice League (2021) {imdb-tt12361974} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,52.30,2330,Only Ali has this file,NO,N/A
Ali → Chris,Captain America Brave New World (2025),Captain America Brave New World (2025) {imdb-tt14513804} [Bluray-2160p][DV HDR10Plus][TrueHD Atmos 7.1][x265]-MainFrame.mkv,20.78,2330,Only Ali has this file,NO,N/A
Ali → Chris,Mission Impossible 8 (2025),Mission Impossible The Final Reckoning (2025) {imdb-tt9603208} - {edition-IMAX} [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10Plus][x265]-SPHD.mkv,47.70,2330,Only Ali has this file,NO,N/A
Ali → Chris,Cars (2006),Cars.2006.2160p.UHD.BluRay.TrueHD.7.1.HDR.x265-CtrlHD.mkv,24.69,2300,Only Ali has this file,NO,N/A
Ali → Chris,The Northman (2022),The Northman (2022) {imdb-tt11138512} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-SPHD.mkv,40.23,2330,Only Ali has this file,NO,N/A
Ali → Chris,Venom Let There Be Carnage (2021),Venom Let There Be Carnage (2021) {imdb-tt7097896} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,25.41,2330,Only Ali has this file,NO,N/A
Ali → Chris,Godzilla x Kong The New Empire (2024),Godzilla x Kong The New Empire (2024) {imdb-tt14539740} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,34.77,2330,Only Ali has this file,NO,N/A
Ali → Chris,Rise of the Planet of the Apes (2011),Rise of the Planet of the Apes (2011) {imdb-tt1318514} [Bluray-2160p][DV HDR10][EAC3 5.1][x265]-HONE.mkv,18.08,2230,Only Ali has this file,NO,N/A
Ali → Chris,Wicked (2024),Wicked (2024) {imdb-tt1262426} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,45.65,2330,Only Ali has this file,NO,N/A
Ali → Chris,Thunderbolts- (2025),Thunderbolts- (2025) {imdb-tt20969586} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-D3US.mkv,26.55,2330,Only Ali has this file,NO,N/A
Ali → Chris,Coco (2017),Coco (2017) {imdb-tt2380307} [Hybrid][Remux-2160p][DV HDR10][TrueHD Atmos 7.1][HEVC]-FraMeSToR.mkv,40.57,2530,Only Ali has this file,NO,N/A
Ali → Chris,Star Trek Nemesis (2002) {imdb-tt0253754},Star Trek Nemesis (2002) {imdb-tt0253754} [Bluray-2160p][DV HDR10][TrueHD 7.1][x265]-SPHD.mkv,29.03,2330,Only Ali has this file,NO,N/A
Ali → Chris,The Terminator (1984),The Terminator (1984) {imdb-tt0088247} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-SPHD.mkv,39.43,2330,Only Ali has this file,NO,N/A
Ali → Chris,Life of Pi (2012),Life.Of.Pi.2012.UHD.BluRay.2160p.DTS-HD.MA.7.1.HEVC.REMUX-FraMeSToR.mkv,46.66,2240,Only Ali has this file,NO,N/A
Ali → Chris,The Ten Commandments (1956),The.Ten.Commandments.1956.UHD.BluRay.2160p.DTS-HD.MA.5.1.DV.HEVC.REMUX-FraMeSToR.mkv,86.98,2390,Only Ali has this file,NO,N/A
Ali → Chris,The Godfather (1972),The Godfather (1972) {imdb-tt0068646} [Bluray-2160p][DV HDR10][TrueHD 5.1][x265]-SPHD.mkv,56.76,2330,Only Ali has this file,NO,N/A
Ali → Chris,Cars 3 (2017),Cars 3 (2017) {imdb-tt3606752} [Bluray-2160p][HDR10][TrueHD Atmos 7.1][x265]-CtrlHD.mkv,22.96,2350,Only Ali has this file,NO,N/A
Ali → Chris,Warfare (2025),Warfare (2025) {imdb-tt31434639} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10Plus][x265]-MainFrame.mkv,24.38,2330,Only Ali has this file,NO,N/A
Ali → Chris,TRON Legacy (2010),TRON Legacy (2010) {imdb-tt1104001} - {edition-IMAX} [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-SPHD.mkv,36.31,2330,Only Ali has this file,NO,N/A
Ali → Chris,Pacific Rim Uprising (2018),Pacific Rim Uprising (2018) {imdb-tt2557478} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,30.31,2330,Only Ali has this file,NO,N/A
Ali → Chris,Brotherhood of the Wolf (2001),Brotherhood of the Wolf (2001) {imdb-tt0237534} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-SPHD.mkv,48.64,2330,Only Ali has this file,NO,N/A
Ali → Chris,Kingdom of the Planet of the Apes (2024),Kingdom of the Planet of the Apes (2024) {imdb-tt11389872} [Bluray-2160p][DV HDR10Plus][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,27.73,2330,Only Ali has this file,NO,N/A
Ali → Chris,The Godfather Part III (1990),The Godfather Part III (1990) {imdb-tt0099674} - {edition-Directors Cut} [Bluray-2160p][TrueHD 5.1][DV HDR10][x265]-SPHD.mkv,45.86,2330,Only Ali has this file,NO,N/A
Ali → Chris,Frankenstein (2025),Frankenstein (2025) {imdb-tt1312221} - [NF][WEBDL-2160p][EAC3 Atmos 5.1][DV HDR10][h265]-Kitsune.mkv,21.18,2030,Only Ali has this file,NO,N/A
Ali → Chris,Wonder Woman (2017),Wonder Woman (2017) {imdb-tt0451279} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,34.62,2330,Ali has additional version (lower quality: 2330 vs 2330),NO,N/A
Ali → Chris,The Spy Who Loved Me (1977),The.Spy.Who.Loved.Me.1977.INTERNAL.2160p.WEB.H265-DEFLATE.mkv,17.41,1000,Only Ali has this file,NO,N/A
Ali → Chris,Eternals (2021),Eternals.2021.2160p.UHD.BluRay.ATMOS.DV.x265-W4NK3R.mkv,27.15,1950,Only Ali has this file,NO,N/A
Ali → Chris,The Greatest Showman (2017),The Greatest Showman (2017) {imdb-tt1485796} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-SPHD.mkv,31.93,2330,Only Ali has this file,NO,N/A
Ali → Chris,The Predator (2018),The Predator (2018) {imdb-tt3829266} [Hybrid][Remux-2160p][DV HDR10][TrueHD Atmos 7.1][HEVC]-FraMeSToR.mkv,48.58,2530,"Ali's version is higher quality (score: 2530 vs 2000, diff: +530)",YES,The Predator 2018 2160p UHD Blu-ray Remux HEVC Atmos 7.1 - BluDragon.mkv
Ali → Chris,Guardians of the Galaxy Vol. 2 (2017),Guardians of the Galaxy Vol. 2 (2017) {imdb-tt3896198} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-SPHD.mkv,35.58,2330,"Ali's version is higher quality (score: 2330 vs 1800, diff: +530)",YES,Guardians.of.the.Galaxy.Vol.2.2017.2160p.UHD.BluRay.x265-TERMiNAL.mkv
Ali → Chris,The Matrix Reloaded (2003),The Matrix Reloaded (2003) {imdb-tt0234215} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,42.28,2330,"Ali's version is higher quality (score: 2330 vs 2300, diff: +30)",YES,The.Matrix.Reloaded.2003.2160p.UHD.BluRay.TrueHD.7.1.HDR.x265-CtrlHD.mkv
Ali → Chris,Saving Private Ryan (1998),Saving Private Ryan (1998) {imdb-tt0120815} [Bluray-2160p][HDR10][TrueHD Atmos 7.1][x265]-HQMUX.mkv,42.61,2350,"Ali's version is higher quality (score: 2350 vs 1800, diff: +550)",YES,Saving.Private.Ryan.1998.2160p.UHD.BluRay.X265-IAMABLE.mkv
Ali → Chris,Fast & Furious 6 (2013),Fast and Furious 6 (2013) {imdb-tt1905041} {edition-Extended} [Bluray-2160p Proper][HDR10][DTS-HD MA 5.1][x265]-CtrlHD.mkv,28.75,2100,"Ali's version is higher quality (score: 2100 vs 2000, diff: +100)",YES,Fast & Furious 6 (2013) Remux-2160p Proper.mkv
Ali → Chris,The Matrix Revolutions (2003),The.Matrix.Revolutions.2003.2160p.UHD.BluRay.TrueHD.7.1.DV.x265-W4NK3R.mkv,38.35,2200,"Ali's version is higher quality (score: 2200 vs 2150, diff: +50)",YES,The.Matrix-Revolutions.2003.UHD.BluRay.HDR.10Bit.2160p.DD.5.1.H265-d3g.mkv
Ali → Chris,Black Panther Wakanda Forever (2022),Black Panther Wakanda Forever (2022) {imdb-tt9114286} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,31.16,2330,"Ali's version is higher quality (score: 2330 vs 2230, diff: +100)",YES,Black Panther Wakanda Forever (2022) {imdb-tt9114286} [Bluray-2160p][DV HDR10][EAC3 7.1][x265]-HONE.mkv
Ali → Chris,Deadpool (2016),Deadpool (2016) {imdb-tt1431045} [Hybrid][Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-SEV.mkv,22.42,2330,"Ali's version is higher quality (score: 2330 vs 2000, diff: +330)",YES,Deadpool (2016) Remux-2160p.mkv
Ali → Chris,Thor Ragnarok (2017),Thor Ragnarok (2017) {imdb-tt3501632} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-LEGi0N.mkv,27.55,2330,"Ali's version is higher quality (score: 2330 vs 2150, diff: +180)",YES,Thor Ragnarok 2017 2160p UHD HDR10+ BluRay x265 TrueHD Atmos 7 1-UnKn0wn.mkv
Ali → Chris,Dune (2021),Dune (2021) {imdb-tt1160419} [Bluray-2160p Proper][DV HDR10Plus][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,43.40,2330,"Ali's version is higher quality (score: 2330 vs 2150, diff: +180)",YES,Dune (2021) Remux-2160p.mkv
Ali → Chris,Jaws (1975),Jaws (1975) {imdb-tt0073195} [Bluray-2160p][HDR10][TrueHD Atmos 7.1][x265]-HQMUX.mkv,37.78,2350,"Ali's version is higher quality (score: 2350 vs 2000, diff: +350)",YES,Jaws.1975.UHD.BluRay.2160p.TrueHD.Atmos.7.1.HEVC.REMUX-FraMeSToR.mkv
Ali → Chris,John Wick Chapter 2 (2017),John Wick Chapter 2 (2017) {imdb-tt4425200} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-SPHD.mkv,35.08,2330,"Ali's version is higher quality (score: 2330 vs 2300, diff: +30)",YES,John.Wick.Chapter.2.2017.2160p.UHD.Bluray.Remux.HDR10.HEVC.Atmos.TrueHD.7.1-4K4U.mkv
Ali → Chris,Top Gun Maverick (2022),Top Gun Maverick (2022) {imdb-tt1745960} {edition-Imax} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,30.03,2330,"Ali's version is higher quality (score: 2330 vs 1750, diff: +580)",YES,Top Gun Maverick (2022) WEBDL-2160p.mkv
Ali → Chris,Blade Runner (1982),Blade Runner (1982) {imdb-tt0083658} {edition-Final Cut} [Remux-2160p][HDR10][TrueHD Atmos 7.1][HEVC]-FraMeSToR.mkv,45.76,2550,"Ali's version is higher quality (score: 2550 vs 2250, diff: +300)",YES,Blade.Runner.1982.The.Final.Cut.2160p.UHD.BluRay.REMUX.HDR.HEVC.Atmos-EPSiLON.mkv
Ali → Chris,The Dark Knight (2008),The Dark Knight (2008) {imdb-tt0468569} [Hybrid][Remux-2160p][DV HDR10][TrueHD 5.1][HEVC]-FraMeSToR.mkv,53.75,2530,"Ali's version is higher quality (score: 2530 vs 2000, diff: +530)",YES,The Dark Knight 2008 2160p UHD Blu-ray Remux HEVC DTS-HD MA 5.1 - BluDragon.mkv
Ali → Chris,Star Wars (1977),Star Wars (1977) {imdb-tt0076759} - [Hybrid][Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-HiDt.mkv,28.49,2330,"Ali's version is higher quality (score: 2330 vs 2150, diff: +180)",YES,Star Wars (1977) Remux-2160p.mkv
Ali → Chris,Alien Romulus (2024),Alien Romulus (2024) {imdb-tt18412256} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,29.16,2330,"Ali's version is higher quality (score: 2330 vs 2030, diff: +300)",YES,Alien Romulus (2024) {imdb-tt18412256} [WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv
Ali → Chris,Army of the Dead (2021),Army of the Dead (2021) {imdb-tt0993840} [NF][WEBDL-2160p][DV HDR10][EAC3 Atmos 5.1][HEVC]-SiC.mkv,16.05,2030,"Ali's version is higher quality (score: 2030 vs 1850, diff: +180)",YES,Army.of.the.Dead.2021.2160p.HDR.NF.WEBRip.DDP.Atmos.5.1.x265-TrollUHD-FZ.mkv
Ali → Chris,Mad Max Fury Road (2015),Mad Max Fury Road (2015) {imdb-tt1392190} [Hybrid][Remux-2160p][DV HDR10][TrueHD Atmos 7.1][HEVC]-FraMeSToR.mkv,42.66,2530,"Ali's version is higher quality (score: 2530 vs 2000, diff: +530)",YES,Mad Max Fury Road 2015 2160p UHD Blu-ray Remux HEVC Atmos 7.1 - BluDragon.mkv
Ali → Chris,Star Trek Into Darkness (2013),Star Trek Into Darkness (2013) {imdb-tt1408101} {edition-Imax} [Hybrid][Remux-2160p][DV HDR10][TrueHD Atmos 7.1][HEVC]-Flights.mkv,49.77,2530,"Ali's version is higher quality (score: 2530 vs 2250, diff: +280)",YES,Star.Trek.Into.Darkness.2013.2160p.UHD.BluRay.REMUX.HDR.HEVC.Atmos-EPSiLON.mkv
Ali → Chris,Twister (1996),Twister (1996) {imdb-tt0117998} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,32.31,2330,"Ali's version is higher quality (score: 2330 vs 1500, diff: +830)",YES,Twister (1996) Remux-1080p.mkv
Ali → Chris,Avengers Infinity War (2018),Avengers Infinity War (2018) {imdb-tt4154756} [Hybrid][Remux-2160p][DV HDR10][TrueHD Atmos 7.1][HEVC]-FraMeSToR.mkv,54.94,2530,"Ali's version is higher quality (score: 2530 vs 2250, diff: +280)",YES,Avengers.Infinity.War.2018.2160p.UHD.BluRay.REMUX.HDR.HEVC.Atmos-EPSiLON.mkv
Ali → Chris,War for the Planet of the Apes (2017),War for the Planet of the Apes (2017) {imdb-tt3450958} [Hybrid][Bluray-2160p][DV HDR10Plus][EAC3 Atmos 8.0][x265]-BiTOR.mkv,19.68,2230,"Ali's version is higher quality (score: 2230 vs 2050, diff: +180)",YES,War.for.the.Planet.of.the.Apes.2017.2160p.UHD.BluRay.HDR.Atmos.x265-Absinth.mkv
Ali → Chris,The Suicide Squad (2021),The Suicide Squad (2021) {imdb-tt6334354} [Bluray-2160p][DV HDR10Plus][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,32.60,2330,"Ali's version is higher quality (score: 2330 vs 2150, diff: +180)",YES,The.Suicide.Squad.2021.UHD.BluRay.2160p.DD.5.1.HDR.x265-BHDStudio.mp4
Ali → Chris,Avengers Age of Ultron (2015),Avengers Age of Ultron (2015) {imdb-tt2395427} [Hybrid][Remux-2160p][DV HDR10][TrueHD Atmos 7.1][HEVC]-FraMeSToR.mkv,49.32,2530,"Ali's version is higher quality (score: 2530 vs 2050, diff: +480)",YES,Avengers.Age.of.Ultron.2015.2160p.UHD.BluRay.HDR.Atmos.x265-Absinth.mkv
Ali → Chris,Ad Astra (2019),Ad Astra (2019) {imdb-tt2935510} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-KeYBLaDE.mkv,25.93,2330,"Ali's version is higher quality (score: 2330 vs 2150, diff: +180)",YES,Ad Astra (2019) Remux-2160p.mkv
Ali → Chris,Interstellar (2014),Interstellar (2014) {imdb-tt0816692} {edition-Imax} [Bluray-2160p][DV HDR10][DTS-HD MA 5.1][x265]-SPHD.mkv,56.24,2080,"Ali's version is higher quality (score: 2080 vs 1800, diff: +280)",YES,Interstellar.2014.2160p.UHD.BluRay.x265-TERMiNAL.mkv
